Aeronautical Engineering,https://www.youtube.com/watch?v=yMNGKMUzKfw&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY,"1,6"
Agricultural Scientist ,https://www.youtube.com/watch?v=0seKBvgXQps&list=PLBBD27DE60692B177&index=7,"1,3,6"
Aircraft Engineering,https://www.youtube.com/watch?v=OUBFEcCULoE&index=8&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY,"1,6"
Airport Customer Services,https://www.youtube.com/watch?v=pW4JyOIQFro&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=5,1
Amenity Horticulture,https://www.youtube.com/watch?v=gKToW66aGK0,"3,5"
Anaesthetic Technician,https://www.youtube.com/watch?v=-JnMRrVdsJw,1
Apprentice Electrician ,https://www.youtube.com/watch?v=egZU2LmciF4,"5,6"
Aquaculture,https://www.youtube.com/watch?v=EdW8AvxJuwU,3
Aquaculture - Mussel Farming ,https://www.youtube.com/watch?v=PZ2bVkoIpI4,3
Arboriculture,https://www.youtube.com/watch?v=-BkjZ23Cem8,3
Army Officer,https://www.youtube.com/watch?v=_D8fUtg8nIc,"1,2"
Auckland Council,https://www.youtube.com/watch?v=p58CSGnItZE,"1,2,3"
Automotive Collision Repair,https://www.youtube.com/watch?v=mkOoWobx4aA&index=10&list=PLLPZVmpSEVzw_l02-YQRiSwiutXFOQrca,6
Automotive Electrical Engineering ,https://www.youtube.com/watch?v=h7kAwmkwaD4&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=9&spfreload=1,6
Automotive Engineering,https://www.youtube.com/watch?v=4O5Hbwnrvmg&index=3&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY,6
Automotive Heavy Engineering,https://www.youtube.com/watch?v=LxMFzYqJ2EQ,6
Automotive Heavy Engineering,https://www.youtube.com/watch?v=4YR-t-Ao4cs,6
Automotive Heavy Engineering - Agricultural Equipment,https://www.youtube.com/watch?v=4FtROM9PF80&index=3&list=PLLPZVmpSEVzz7jXkheuUflts3aDI49nSf,6
Automotive Refinisher,https://www.youtube.com/watch?v=6a0tR_NnMag&list=PLLPZVmpSEVzw_l02-YQRiSwiutXFOQrca&index=4,6
Automotive Services Advisor,https://www.youtube.com/watch?v=p62dsMKhBnQ,6
Automotive Technician,https://www.youtube.com/watch?v=UFSIly07g8o&index=17&list=PLLPZVmpSEVzw_l02-YQRiSwiutXFOQrca,6
Automotive Workshop Supervisor,https://www.youtube.com/watch?v=uPoi1lJmHho,6
Baking,https://www.youtube.com/watch?v=lHOM-0E4oNo&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=11,"2,4,6"
Banking - Customer Services Consultant ANZ,https://www.youtube.com/watch?v=jtNsN8PK96M&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=24,2
